function	2N-update3202MT	ZC3201	evidence
ConverHexToi	0x080ac1ec	0x0809f60c	string-match
FatLib_GetVersion	0x080f0c28	0x080acd10	string-authoritative+decomp-twin(version-string getter; MT returns FatLib_V1.2.1A)
Fat_AllocFat	0x080a8ecc	0x080b2658	string-authoritative(ZC:FSLib/FatLib assert)
Fat_AllocFat_2	0x080f5268	-	string-authoritative(ZC:FSLib/FatLib assert)
Fat_FdtSetName	0x080f4dc0	0x080b219c	string-authoritative(ZC:FSLib/FatLib assert)
File_CopyFile	0x080fc764	0x080ac704	string-authoritative(ZC:FSLib/FatLib assert)
File_Deltree	0x080fc268	0x080ac1ec	string-authoritative(ZC:FSLib/FatLib assert)
File_Destroy	0x080f85d8	-	string-authoritative(ZC:FSLib/FatLib assert)
File_Open	0x080f8f20	0x080a8e04	string-authoritative(ZC:FSLib/FatLib assert)
File_OpenId	0x080f8d98	0x080a8c74	string-authoritative(ZC:FSLib/FatLib assert)
File_WriteBlock	0x080fbe24	-	string-authoritative(ZC:FSLib/FatLib assert)
Fname_ShortToLong	0x08108f48	0x080b60e4	string-authoritative(ZC:FSLib/FatLib assert)
Fwl_FileRead	-	0x0804b204	string-authoritative(ZC); NO CONFIDENT MT TWIN - ZC fn has no in-firmware caller/pointer (BL+byte-ptr scan empty), and its game-ctx offsets (+0xd8c/+0xd8e, +0x4b=0xb) don't exist in MT
Utl_Atoi	0x08030558	0x08024740	string-match
Utl_Itoa	0x080304c0	0x080246a8	string-match
Utl_StrCat	0x080303e4	0x080245cc	string-match
Utl_StrCmp	0x080efc2c	-	string-match
Utl_StrCmpC	0x0803021c	0x08024404	string-match
Utl_StrCmp_2	0x080efcbc	-	string-match
Utl_StrCpy	0x0803029c	0x08024484	string-match
Utl_StrCpyN	0x08030324	0x0802450c	string-match
Utl_StrFndChr	0x080efad8	0x080a4f00	string-match
Utl_StrFndL	0x080ef910	0x080a4d38	string-match
Utl_StrRevFndChr	0x080efb84	0x080a4fac	string-match
Utl_StrUpper	0x080efd50	0x080a5178	string-match
Utl_UAtoi	0x080ac978	-	string-match
Utl_UStrCatChr	0x080acf9c	0x080a0288	string-match
Utl_UStrCmp	0x080ac8e0	0x0809fbec	string-match
Utl_UStrCmpNC	0x080ad0b8	0x080a03a0	string-match
Utl_UStrFnd	0x080acc80	0x0809ff68	string-match
Utl_UStrIns	0x080ac7b8	0x0809fac4	string-match
Utl_UStrRevFnd	0x080ace28	0x080a0114	string-match
Utl_UStrRevFndChr	0x080acba4	0x0809fe84	string-match
akoid_init	0x080eeb20	-	name-shared
akoid_reg_read	0x080ef6a4	-	name-shared
akoid_reg_write	0x080ef684	-	name-shared
akoid_set_tempbyte1	0x0805083c	-	name-shared
ask_question	0x080956b4	-	name-shared
codepage_get_header	0x08030fb4	0x08025ce4	string-match
codepage_get_widechar	0x080310d0	0x08025dd8	string-match
codepage_load	0x08030e4c	-	string-match
discovery_mode	0x0809c5f8	0x0808ed04	name-shared
fs_attr_destroy	0x081083bc	-	decomp-twin
fs_file_open_ascii	0x080f9b7c	-	decomp-twin
fs_file_open_wide	0x080f9bc8	-	decomp-twin
fs_get_driver_by_index	0x080f08f8	-	decomp-twin
fs_list_add	0x080f81c4	-	decomp-twin
fs_list_destroy	0x080f8288	-	decomp-twin
fs_list_init	0x080f82c0	-	decomp-twin
fs_list_iter_next	0x080f3e5c	-	decomp-twin
fs_list_iter_reset	0x080f3e4c	-	decomp-twin
fs_mount_helper	0x08038484	-	decomp-twin
fs_obj_validate	0x080f83dc	-	decomp-twin
fs_object_free_array	0x080f8520	-	decomp-twin
fs_open	0x0800de20	0x0800c0ec	decomp-twin
fs_partition_scan	0x08039a68	-	decomp-twin
fs_read	0x0800dec8	0x0800c1c4	decomp-twin
fs_read_plain	0x0800e030	-	decomp-twin
fs_read_xor_decrypt	0x0800df70	-	decomp-twin
fs_seek	0x0800ded8	0x0800c1d4	decomp-twin
fs_storage_mount_init	0x0803a484	-	decomp-twin
fs_string_alloc	0x080fcfb4	-	decomp-twin
fs_string_free	0x080fcf4c	-	decomp-twin
fs_wstr_create_copy	0x080fd05c	-	decomp-twin
game_action_handler_main	0x0805c2dc	-	call-structure
game_check_function_code	0x08095ddc	-	call-structure
game_ctx_init_flags	0x08069a20	0x0805c074	call-structure
game_findtarget_sm	0x08092f00	0x08085608	call-structure
game_load_header	0x08069a3c	-	call-structure
game_load_playlist_offsets	0x08074b7c	0x0805c090	call-structure
game_oid_dispatch	0x0806bad8	-	call-structure
game_pick_voice	0x0806a0dc	-	call-structure
